iter	Passed	Remaining
181	62776	1661860
182	63107	1661139
183	63453	1660834
184	63841	1661601
185	64243	1662728
186	64506	1660270
187	64838	1659586
188	65173	1658997
189	65542	1659263
190	65868	1658445
191	66133	1656099
192	66400	1653820
193	66764	1653962
194	67115	1653792
195	67445	1653106
196	67837	1653920
197	68183	1653631
198	68527	1653270
199	68795	1651096
200	69177	1651648
201	69506	1650946
202	69837	1650304
203	70182	1649971
204	70514	1649349
205	70778	1647157
206	71159	1647664
207	71543	1648251
208	71944	1649218
209	72328	1649779
210	72678	1649566
211	73012	1648973
212	73333	1648109
213	73669	1647571
214	74040	1647828
215	74434	1648586
216	74762	1647873
217	75037	1646007
218	75370	1645418
219	75754	1645928
220	76047	1644494
221	76379	1643887
222	76737	1643838
223	77117	1644248
224	77453	1643725
225	77832	1644129
226	78233	1644974
227	78499	1642984
228	78753	1640745
229	79131	1641108
230	79407	1639360
231	79781	1639642
232	80167	1640172
233	80485	1639292
234	80807	1638494
235	81187	1638890
236	81476	1637436
237	81834	1637378
238	82110	1635684
239	82438	1635025
240	82814	1635332
241	83206	1635939
242	83529	1635190
243	83850	1634396
244	84117	1632568
245	84449	1631994
246	84839	1632560
247	85210	1632749
248	85546	1632255
249	85869	1631527
250	86142	1629844
251	86519	1630134
252	86867	1629872
253	87187	1629092
254	87529	1628732
255	87868	1628307
256	88210	1627952
257	88544	1627443
258	88817	1625813
259	89211	1626394
260	89591	1626729
261	89921	1626136
262	90314	1626688
263	90687	1626886
264	91013	1626217
265	91355	1625845
266	91632	1624340
267	92031	1624968
268	92405	1625172
269	92668	1623421
270	92943	1621881
271	93322	1622172
272	93692	1622282
273	94032	1621889
274	94404	1622040
275	94773	1622133
276	95160	1622532
277	95417	1620732
278	95803	1621104
279	96185	1621416
280	96527	1621046
281	96912	1621394
282	97181	1619798
283	97451	1618238
284	97780	1617671
285	98053	1616174
286	98328	1614707
287	98579	1612872
288	98891	1612035
289	99229	1611623
290	99589	1611567
291	99976	1611942
292	100300	1611311
293	100692	1611769
294	101091	1612320
295	101460	1612403
296	101772	1611573
297	102159	1611925
298	102536	1612113
299	102899	1612099
300	103276	1612277
301	103613	1611845
302	103933	1611147
303	104208	1609751
304	104586	1609950
305	104906	1609253
306	105190	1608016
307	105522	1607503
308	105849	1606923
309	106223	1607052
310	106556	1606571
311	106923	1606591
312	107196	1605211
313	107456	1603628
314	107762	1602746
315	108082	1602076
316	108464	1602336
317	108816	1602140
318	109102	1600960
319	109483	1601202
320	109815	1600700
321	110141	1600136
322	110499	1600015
323	110888	1600347
324	111164	1599060
325	111461	1598068
326	111818	1597943
327	112123	1597082
328	112492	1597124
329	112766	1595823
330	113059	1594783
331	113449	1595133
332	113774	1594556
333	114091	1593867
334	114478	1594161
335	114809	1593661
336	115153	1593350
337	115489	1592938
338	115821	1592454
339	116136	1591747
340	116535	1592190
341	116861	1591636
342	117152	1590607
343	117482	1590110
344	117753	1588825
345	118081	1588301
346	118415	1587861
347	118803	1588149
348	119126	1587556
349	119486	1587463
350	119821	1587041
351	120195	1587125
352	120465	1585839
353	120838	1585915
